Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2016-01-26 10:00 PM,2016,01,26,22,46.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 11:00 PM,2016,01,26,23,59.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 12:00 AM,2016,01,27,00,68.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-27 01:00 AM,2016,01,27,01,77.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 02:00 PM,2016,01,26,14,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 03:00 PM,2016,01,26,15,24.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 04:00 PM,2016,01,26,16,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 05:00 PM,2016,01,26,17,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 06:00 PM,2016,01,26,18,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 07:00 PM,2016,01,26,19,31.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 08:00 AM,2016,01,26,08,46.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 09:00 AM,2016,01,26,09,29.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 10:00 AM,2016,01,26,10,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 11:00 AM,2016,01,26,11,36.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 12:00 PM,2016,01,26,12,38.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 01:00 PM,2016,01,26,13,24.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 02:00 AM,2016,01,26,02,73.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 03:00 AM,2016,01,26,03,69.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 04:00 AM,2016,01,26,04,70.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 05:00 AM,2016,01,26,05,70.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 06:00 AM,2016,01,26,06,61.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 07:00 AM,2016,01,26,07,49.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 08:00 PM,2016,01,25,20,34.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 09:00 PM,2016,01,25,21,41.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 10:00 PM,2016,01,25,22,53.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 11:00 PM,2016,01,25,23,61.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 12:00 AM,2016,01,26,00,59.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-26 01:00 AM,2016,01,26,01,68.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 02:00 PM,2016,01,25,14,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 03:00 PM,2016,01,25,15,30.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 04:00 PM,2016,01,25,16,35.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 05:00 PM,2016,01,25,17,20.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 06:00 PM,2016,01,25,18,23.0,UG/M3,1 Hr,Valid
